tracking_id	SANO_0	SANO_1	SANO_2	CANCER_0	CANCER_1	CANCER_2
MSTRG.1227	46.8728	248.213	70.3953	309.415	20.0636	17.176
MSTRG.12270	76.2506	112.336	115.888	79.9842	67.8162	45.1842
MSTRG.12271	0	0.0207997	0.0177346	0	0.179858	0.135922
MSTRG.12272	27.4076	35.6858	35.9912	28.3587	30.1882	34.7724
MSTRG.12273	4.5929	4.39803	4.2037	4.08729	2.17588	0.534278
MSTRG.12274	13.0427	8.36753	9.29615	8.48914	4.72445	1.66867
MSTRG.12275	82.055	29.3203	21.8342	15.322	4.14107	5.1524
MSTRG.12276	59.0048	44.1812	90.0829	26.3141	10.1423	10.3683
MSTRG.12277	18.4033	10.3103	15.4688	9.87898	19.4383	12.2256
MSTRG.12278	0.37485	0.460776	0.353613	0.792695	3.05022	1.51856
MSTRG.12279	3.8865	5.75461	5.80309	4.35973	9.09928	4.55345
MSTRG.1228	35.0964	68.3646	56.441	68.1121	75.9479	47.6405
MSTRG.12280	6.60356	3.68672	3.46168	4.32631	9.39371	6.81026
MSTRG.12281	5.24459	4.49575	3.96577	5.1692	10.5157	6.53364
MSTRG.12282	0	0	0	0	2.80428	1.87469
MSTRG.12283	521.824	736.897	534.881	947.11	384.439	243.978
MSTRG.12284	0	0.221574	1.88936	0.508241	0	0.402247
MSTRG.12285	34.2763	10.556	27.492	25.0408	6.7321	0.619423
MSTRG.12286	0	0	2.2399	0	0	0
MSTRG.12287	11.4906	16.5558	15.5584	10.6756	6.64154	3.32923
MSTRG.12288	25.4254	30.3762	13.9795	12.0739	8.21921	6.92801
MSTRG.12289	51.5224	48.9609	53.2521	52.4856	46.1533	51.9401
MSTRG.1229	8.73703	10.3069	8.66642	11.6175	19.3281	28.3567
MSTRG.12290	18.4389	13.5686	13.3049	16.9414	37.4147	20.9997
MSTRG.12291	0	0.130937	0.128828	0.0346533	0.0290336	0
MSTRG.12292	18.0972	12.168	11.1308	17.3029	46.0865	41.1461
MSTRG.12293	26.936	31.9424	27.9589	32.082	25.7381	35.44
MSTRG.12294	26.0345	35.1862	25.7103	41.0772	30.9688	34.9075
MSTRG.12295	0.361609	0.920753	0.741808	0.873933	6.35197	4.8279
MSTRG.12296	9.15942	6.95492	7.68407	5.26406	29.4885	21.5416
MSTRG.12297	1.60212	2.09639	2.2381	1.95486	1.5388	1.32469
MSTRG.12298	0.419196	1.77785	1.56342	1.97828	10.1796	3.59035
MSTRG.12299	8.71583	6.9196	6.82703	15.3583	25.534	25.0578
MSTRG.123	0	0	0.212482	0.283075	0.949619	0.717626
MSTRG.1230	79.8937	71.6495	92.4907	48.4676	44.7984	51.8743
MSTRG.12300	0.0573502	0.0140993	0.0601123	0	0.0609664	0.0614303
MSTRG.12301	0.214166	0.214285	0.301307	0.250881	0.314257	1.92446
MSTRG.12302	5.37235	7.07744	6.00391	6.66944	6.43711	7.17482
MSTRG.12303	1.84557	0.226867	0.290171	0	0.817472	3.70662
MSTRG.12304	17.2286	9.07619	9.00672	22.9007	67.9888	59.088
MSTRG.12305	5.4116	1.34399	1.52803	1.16773	3.7178	0.857659
MSTRG.12306	78.4469	62.72	79.1491	61.9362	113.498	102.81
MSTRG.12307	3.59882	0.786416	1.17351	1.3529	4.9591	3.31933
MSTRG.12308	387.572	90.5496	131.635	139.527	145.249	94.169
MSTRG.12309	59.897	15.9827	77.8394	37.6681	15.5949	58.478
MSTRG.1231	0.947182	1.36159	1.65029	1.80806	2.17486	2.61188
MSTRG.12310	85.244	60.0446	66.8232	55.1023	42.0411	36.2695
MSTRG.12311	1.65332	1.61329	1.55397	0.988546	0.380165	0.0657751
MSTRG.12312	0.0935289	2.03493	1.68617	0.909804	3.38049	11.5711
MSTRG.12313	2.61614	0.196523	2.0109	1.29087	3.65663	3.77527
MSTRG.12314	0.959013	0.612968	0.703428	1.17763	1.24578	0.664951
MSTRG.12315	0.696742	0.547545	0.222271	2.88949	0.916353	0.444525
MSTRG.12316	10.6647	10.0618	11.0041	10.1925	11.877	13.6117
